service_name,escalation_policies,teams,integrations,last_incident_timestamp
Bedrock Critical Alerts,Bedrock Escalation Policy,BEDROCK,"[""Email"", ""Prometheus alert manager""]",2019-10-24T22:00:45-07:00
Blackbox TOC Escalation,CCS Team Escalation Policy,CCS Team,"[""Email""]",2019-07-03T13:01:06-07:00
Calvin-v2,CCP Escalation Policy,CCP EDP,"[""Email""]",2017-10-06T14:35:43-07:00
cancellation-api,TSAPI-PROD,TSAPI,"[""Prometheus""]",
cancellation-api-low,TSAPI-STAGE,TSAPI,"[""Prometheus""]",
CAR - ECP,ECP - Primary,CORT,"[""Email""]",2018-07-20T14:36:20-07:00
CAR - Healthcheck,CAR - Policy,CORT,"[""Email""]",2019-06-03T17:43:17-07:00
CAS - EventBase Authoring TOC Escalation Service,TM1 Events,TM1 Events - EventBase - authoring,"[""Email""]",2017-01-03T11:53:46-08:00
CBT,IOPSCPT - Escalation Policy,IOPSCPT,"[""pdincident""]",2019-05-16T12:33:05-07:00
CCGenesys,Genesys Escalation Policy,Contact Center - Technology,"[""Email""]",2019-10-21T20:08:48-07:00
CCIT Email Alert,CCIT Escalation Policy,Contact Center - Technology,"[""Email"", ""Email (2)""]",2019-10-16T04:57:36-07:00
CCIT Monitor Alert,CCIT Escalation Policy,Contact Center - Technology,"[""SolarWinds"", ""SolarWinds (2)"", ""Prometheus""]",2019-10-30T02:31:23-07:00
CCM - Change Control Management,Techops-Infra-Oncall,Techops Infrastructure,"[""Amazon Cloudwatch""]",2019-04-12T00:51:23-07:00
CCP Cloudwatch,CCP Escalation Policy,CCP EDP,"[""Amazon CloudWatch""]",2019-09-11T16:17:58-07:00
CCP Discovery Service,CCP Discovery Policy,CCP Discovery,"[""Rigor Integration"", ""Prometheus"", ""Cloudwatch"", ""Cloudwatch Alerting Integration"", ""Email"", ""Sumologic""]",2019-10-29T04:03:25-07:00
CCP EDP Rigor,CCP Escalation Policy,CCP EDP,"[""Email""]",2019-10-29T16:29:40-07:00
CCP EDP Rigor Webhook,CCP Escalation Policy,CCP EDP,"[""CCP EDP Rigor"", ""Rigor2""]",2019-06-18T11:03:33-07:00
CCP Email Cloudwatch,CCP Escalation Policy,CCP EDP,"[""Email""]",2018-09-11T09:22:48-07:00
CCP Generic Email Service,CCP Escalation Policy,CCP EDP,"[""Email""]",2019-09-23T13:09:39-07:00
CCP Infrastructure Alerts,CCP Escalation Policy,CCP EDP,"[""Email"", ""Infrastructure Prometheus""]",2019-10-30T07:42:47-07:00
CCP INTL 911,CCP INTL Skeleton,CCP-Intl,"[""Email"", ""AWS Cloudwatch"", ""Alertmanager-direct""]",2019-10-25T15:18:57-07:00
CCP INTL 911 CLOUDWATCH,CCP INTL Skeleton,CCP-Intl,"[""Amazon CloudWatch""]",
CCP INTL 911 DevOps,CCP INTL 911 DEVOPS,,"[""Mail2Slack"", ""Amazon CloudWatch"", ""Pagerduty API v2""]",2019-10-30T04:02:03-07:00
CCP INTL 911 SANDBOX,CCP INTL 911 SANDBOX,,"[""Amazon CloudWatch""]",2019-02-06T08:45:48-08:00
CCP Jenkins - Prod Smoke,CCP Escalation Policy,CCP EDP,"[""Email""]",2016-04-01T17:33:18-07:00
CCP Rigor Alert,CCP Escalation Policy,CCP EDP,"[""Rigor""]",2017-10-24T06:44:20-07:00
CCP Site Alerting,CCP Escalation Policy,CCP EDP,"[""Email""]",2019-10-29T22:50:31-07:00
CCP StatusPage.io,CCP Escalation Policy,CCP EDP,"[""Email""]",
CCP Sumo Alerts,CCP Escalation Policy,CCP EDP,"[""Email""]",2019-10-29T04:00:20-07:00
CCP TOC Escalation Service,CCP Escalation Policy,CCP EDP,"[""Email"", ""Kube""]",2019-01-31T05:14:57-08:00
CCP Tools preview,CCP Escalation Policy,CCP EDP,"[""Amazon Cloudwatch""]",2016-04-07T12:26:00-07:00
CCP-BBA-US,CCP-BBA-US,CCP-BBA-US,"[""Email""]",2019-10-23T14:18:33-07:00
CCP-Stage,CCP Escalation Policy,CCP EDP,"[""Email""]",2016-01-14T14:48:59-08:00
ccpsresonsalealert,Onsale SRE,CCP SRES,"[""Email""]",
CCS Alert,CCS Team Escalation Policy,CCS Team,"[""CCS Alert Email"", ""CCS Alert API""]",
CCS Alert - High,CCS Team Escalation Policy,CCS Team,"[""Email"", ""API""]",
CCS Escalation,CCS Team Escalation Policy,CCS Team,"[""Email""]",2019-09-27T06:10:07-07:00
CCS Universal Support Platform,CCS Team Escalation Policy,CCS Team,"[""Email"", ""Alert Manager""]",
CCS_Healthcheck,CCS Team Escalation Policy,CCS Team,"[""Email""]",2019-10-28T07:21:06-07:00
CCS_Healthcheck_HIGHALERT,CCS Team Escalation Policy,CCS Team,"[""Email""]",2019-10-02T23:52:06-07:00
CCSChangmoService,CCS Changmo Maintenance,CCSChangmo,"[""Email""]",2019-10-24T13:51:05-07:00
CCSDavidLService,CCS DavidL Maintenance,CCSDavidL,"[""Email""]",
CCSErikService,CCS Erik Maintenance,CCSErik,"[""Email""]",
CCSJamesService,CCS James Maintenance,CCSJames,"[""Email""]",2019-10-18T15:07:32-07:00
CCTM PCI Proxy,IVR Escalation Policy,Contact Center - Technology,"[""PCI Proxy API""]",2017-05-30T13:13:12-07:00
CDN Engineering,CDN Engineering,CDN Engineering,"[""cdneng""]",2019-08-21T12:12:02-07:00
CEN Automated Audience Creation,CEN Automated Audience Creation,CEN Automated Audience Creation,"[""API""]",2019-10-21T16:38:10-07:00
cestest,tmcrmalerts,,"[""Generic API""]",2016-03-01T04:28:59-08:00
CET Tools Alert,devXtools,devXtools,"[""cet-cw-pd-api""]",2017-04-26T19:26:53-07:00
Checkout,Checkout Escalation Policy,Checkout,"[""Email"", ""Rigor"", ""AWS Cloudwatch"", ""Prometheus""]",2019-10-29T14:59:29-07:00
Checkout Orders - RECS Tickets,Checkout - Orders,Checkout - Orders,"[""Email""]",2019-10-26T15:33:07-07:00
Checkout Orders - Technical Alerts,Checkout - Orders,Checkout - Orders,"[""Prometheus"", ""APIv2""]",2019-10-30T14:33:20-07:00
Checkout Orders - Technical Alerts Low Priority,Checkout - Orders,Checkout - Orders,"[""Email"", ""Prometheus""]",2019-10-30T11:02:06-07:00
CIM service,Critical Incident Management Escalation,Critical Incident Management,"[""JIRA Software""]",2019-03-25T15:40:20-07:00
Client Analytics Attendance Ingestion Service,Core Data Services Attendance Escalation Policy,Core Data Services Team,"[""Client Analytics Attendance Ingestion""]",2019-06-05T17:12:02-07:00
Client Support Directors email oncall,Client Support Director Oncall Policy,Client Support Director Oncall,"[""Email""]",2019-10-30T09:37:18-07:00
Client Support Technology and Implementation,Client Support Technology Implementation Critical Incident, Client Support Technology and Implementation,"[""Email""]",
CLOUDSYS-API-TEST-NICK,cloudsys-escalation-test-nick,,"[""API""]",2016-07-29T16:25:58-07:00
CLOUDSYS-SERVICE-AWS-FILERS,cloudsys-escalation-test-nick,,"[""Email""]",2015-12-09T17:32:40-08:00
CLOUDSYS-SERVICE-DEFAULT,TECHOPS-INFRA-TEST,Techops Infrastructure,[],2016-08-30T00:58:29-07:00
CLOUDSYS-SERVICE-DNS,Techops-Infra-Oncall,Techops Infrastructure,"[""Email""]",2019-09-25T02:52:48-07:00
CLOUDSYS-SERVICE-FILERS,Techops-Infra-Oncall,Techops Infrastructure,"[""Email""]",2019-10-24T07:59:35-07:00
CLOUDSYS-SERVICE-LOG,Techops-Infra-Oncall,Techops Infrastructure,"[""Email""]",2017-12-16T13:50:22-08:00
CLOUDSYS-SERVICE-NIMBUS,Techops-Infra-Oncall,Techops Infrastructure,"[""Email"", ""CLOUDSYS-NIMBUS-API-INTEGRATION""]",2018-05-02T00:36:26-07:00
CLOUDSYS-SERVICE-SYSTEM,Techops-Infra-Oncall,Techops Infrastructure,"[""Email""]",2018-05-02T00:36:27-07:00
CLOUDSYS-SERVICE-XEN-KVM,Techops-Infra-Oncall,Techops Infrastructure,"[""Email"", ""Dev Prometheus""]",2019-10-25T16:51:26-07:00
cloudsys-test-nick,cloudsys-escalation-test-nick,,"[""Email""]",2016-03-02T20:35:41-08:00
Cloudwatch,Platinum Escalation Policy,Platinum Tool and RT ISM,"[""Amazon Cloudwatch""]",2019-10-30T13:27:43-07:00
Cloudwatch Alarms,SmartQueue Escalation Policy,SmartQueue,"[""Amazon Cloudwatch""]",2019-07-18T16:58:59-07:00
Cloudwatch Alert - Client Setup Service,TM1 Events,TM1 Events - EventBase - authoring,"[""Amazon Cloudwatch""]",2018-11-06T17:21:37-08:00
Cloudwatch Alert - ELK,TM1 Events,TM1 Events - EventBase - authoring,"[""Amazon Cloudwatch ELK""]",2019-10-09T14:45:08-07:00
Cloudwatch Alert - ELK (LOW),TM1 Events,TM1 Events - EventBase - authoring,"[""Amazon Cloudwatch""]",
Cloudwatch Alert - EventBase,TM1 Events,TM1 Events - EventBase - authoring,"[""Amazon Cloudwatch""]",2019-10-22T16:38:15-07:00
Cloudwatch alert - Fees,TM1 Events,TM1 Events - EventBase - authoring,"[""Amazon Cloudwatch - Fees""]",2019-09-30T14:40:57-07:00
Cloudwatch Alert - IPA,TM1 Events,TM1 Events - EventBase - authoring,"[""Amazon Cloudwatch""]",2019-10-29T16:23:28-07:00
Cloudwatch alert - Offer,TM1 Events,TM1 Events - EventBase - authoring,"[""Amazon Cloudwatch - Offer""]",2019-09-30T14:40:56-07:00
Cloudwatch Alert - Publish,TM1 Events,TM1 Events - EventBase - authoring,"[""Amazon Cloudwatch - Publish""]",2017-02-27T04:07:38-08:00
CloudWatch-Tournament,Tournament-Escalation-Policy,Tournament,"[""Amazon CloudWatch""]",2019-10-30T03:21:22-07:00
Cobrand,Tea Drinker (ICCPAdmin|Cobrand) OnCall,Tea Drinkers (ICCPAdmin | Cobrand),"[""Cobrand Amazon CloudWatch""]",2019-07-22T06:16:41-07:00
CODS,TM Post-Purchase Escalation Policy,TM Post-Purchase,"[""Email""]",2018-11-28T23:15:41-08:00
Combined Order Stream,CORETIX Escalation Policy,CORETIX,"[""Email""]",
Commerce (VAM) - Email,Commerce On Call Escalation Policy,COMMVAM,"[""Runscope"", ""Events API v1""]",2018-09-30T12:36:40-07:00
COMMERCE API,Open Ticketing OV OnCall Escalation Policy,Open Ticketing,"[""Email"", ""prometheus-integration"", ""Cloudwatch-Integration""]",2019-01-09T20:25:42-08:00
Commerce API (CommTRU),Open Ticketing OV OnCall Escalation Policy,Open Ticketing,"[""Runscope""]",2017-11-08T14:52:56-08:00
Commerce API Eng,Open ticketing no escalation,Open Ticketing,"[""prometheus-integration"", ""CloudWatch-Integration""]",2019-08-14T14:42:35-07:00
COMMERCE Crimson Striker,Crimson Striker Team Notification,CTS Supply,"[""Email""]",2016-12-02T18:57:38-08:00
Commerce Platform (Dev Corch) TOC Escalation,Commerce On Call Escalation Policy,COMMVAM,"[""Email""]",2018-01-25T08:42:53-08:00
commerce-platform,Commerce On Call Escalation Policy,COMMVAM,"[""Email"", ""Events API v1""]",2019-09-21T01:35:12-07:00
commtru,Commerce On Call Escalation Policy,COMMVAM,"[""Email"", ""AWS Prometheus""]",2019-06-05T11:09:55-07:00
commvam,Commerce On Call Escalation Policy,COMMVAM,"[""Email"", ""aws-cloudwatch"", ""prometheus-api-integration"", ""prometheus-api-prod"", ""Kibana""]",2019-10-09T17:34:50-07:00
COMMVAM - PagerDuty,COMMVAM Engineering Notification,COMMVAM,"[""API""]",2017-04-29T12:50:04-07:00
commvam-eng,COMMVAM Engineering Notification,COMMVAM,"[""Email"", ""aws-cloudwatch"", ""aws-prometheus"", ""prometheus-api-integration"", ""prometheus-api-preprod"", ""inventory bus warning"", ""Kibana"", ""commvam-lowpriority""]",2019-10-30T15:06:10-07:00
Contaq,Content and Discovery,Content and Discovery,"[""Email"", ""High""]",2019-10-21T06:05:37-07:00
Contaq - Low,Content and Discovery,Content and Discovery,"[""Low""]",2019-09-09T10:06:29-07:00
Contaq - Mongo,Content and Discovery,Content and Discovery,"[""Amazon CloudWatch""]",
Contaq - Mongo - Low,Content and Discovery,Content and Discovery,"[""Amazon CloudWatch""]",2019-09-17T07:02:54-07:00
Content Platform - Logs - High,ECS - Escalation Policy,Enterprise Content Services,"[""Amazon Cloudwatch - High""]",2018-10-29T13:19:04-07:00
Content Platform - Logs - Low,ECS - Escalation Policy,Enterprise Content Services,"[""Amazon Cloudwatch - Low""]",2018-07-27T08:15:24-07:00
Contract Admin Systems (CAS),TM1 Events,TM1 Events - EventBase - authoring,"[""Email""]",2016-04-04T12:46:24-07:00
COP Earl Service,SDMA-ESCALATION-POLICY,SalesDeckMobile,"[""Email""]",2017-06-12T09:26:10-07:00
COP SMAC Service,SDMA-ESCALATION-POLICY,SalesDeckMobile,"[""Email""]",2019-10-13T12:00:23-07:00
COP UTIX Service,SDMA-ESCALATION-POLICY,SalesDeckMobile,"[""Email""]",2018-05-24T09:53:52-07:00
Cops - Mongo,Contaq - Xsition,Content and Discovery,"[""Amazon CloudWatch""]",2019-10-30T13:57:55-07:00
Cops - Mongo - Low,Contaq - Xsition,Content and Discovery,"[""Amazon CloudWatch""]",2019-10-18T10:01:08-07:00
Corch Hollywood RECS,CORCH Hollywood RECS Escalation,,"[""Email""]",2019-07-03T13:55:52-07:00
Core Data Services Frontgate Service,Core Data Services Frontgate Escalation Policy,Core Data Services Team,"[""Email""]",
Core Platform AWS DNS - Prometheus,Techops-Infra-Oncall,Techops Infrastructure,"[""Prometheus""]",
Coresys-Critical,Techops-Infra-Oncall,Techops Infrastructure,"[""Email""]",2018-04-18T05:55:34-07:00
Coresys-Warn,Techops-Infra-Oncall,Techops Infrastructure,"[""Email""]",2019-04-01T13:00:03-07:00
CORETIX - Critical Incident,CORETIX critical incident Escalation Policy,CORETIX,"[""Email""]",2019-06-12T23:25:14-07:00
CORETIX - LilSis - Monitored Service,CORETIX Escalation Policy,CORETIX,"[""Email"", ""Slack""]",2019-10-30T07:10:28-07:00
CORETIX - LilSis - tasklog,coretix tasklog,CORETIX,"[""Slack"", ""Email""]",2019-10-30T03:41:20-07:00
CORETIX - LilSis - vmap,CORETIX Escalation Policy,CORETIX,"[""Email""]",2015-09-12T06:21:33-07:00
CORETIX - Monitored Service,CORETIX Escalation Policy,CORETIX,"[""Email"", ""Slack"", ""Prometheus""]",2019-10-30T13:00:07-07:00
CORETIX - PagerDuty - CTAL Weekend Onsale Service,CORETIX CTAL Weekend Onsale Coverage,CORETIX,"[""Email""]",
CORETIX - TOC Escalation,CORETIX Escalation Policy,CORETIX,"[""Email""]",2019-10-25T12:04:37-07:00
CORETIX High Priority Incident,CORETIX High Priority Incident,CORETIX,"[""Email""]",2019-10-30T13:00:56-07:00
Credtool Backup,devXtools,devXtools,"[""SDK""]",2018-02-13T11:00:23-08:00
Crimson Striker Engineering,Crimson Striker Team Notification,CTS Supply,"[""Email""]",2019-08-01T07:54:14-07:00
Critical Access Alerts,IAC escalation,IAC,"[""Email"", ""Prometheus""]",2019-10-12T08:09:43-07:00
Critical Access Alerts - low,IAC Escalation-Low,IAC,"[""Prometheus""]",2019-08-13T08:56:08-07:00
Critical Access Feed Alerts,IAC escalation,IAC,"[""Access Prometheus""]",2019-09-16T00:34:56-07:00
Critical ERC alerts,IAC escalation,IAC,"[""Email"", ""ERC Prometheus""]",2019-10-02T00:44:16-07:00
CRM ONCALL,CRM ONCALL,FOCUS ONCALL,"[""Email""]",2017-03-27T07:55:37-07:00
CRM ONCALL HIGH,CRM ONCALL,FOCUS ONCALL,"[""Email""]",2019-10-30T05:08:48-07:00
CSI FFS Critical,CSI Non-Critical Alerts,CSI,"[""Cloudwatch Critical Alerts"", ""Prometheus Critical Alerts"", ""Aurora RDS Cloudwatch Critical""]",2018-04-25T15:45:32-07:00
CSI FFS Non Critical,CSI Non-Critical Alerts,CSI,"[""Cloudwatch Non Critical Alert"", ""Prometheus Non Critical Alert""]",2019-01-23T14:41:30-08:00
CSI Splunk Non Critical Alerts,CSI Non-Critical Alerts,CSI,"[""Email"", ""Aurora RDS Cloudwatch Non Critical"", ""FFS Non Critical"", ""Message Bus""]",2019-10-30T15:00:36-07:00
CSIRT All Service,CSIRT Email All,Cyber Security Incident Response Team - CSIRT,"[""Email All CSIRT""]",2019-09-01T13:32:37-07:00
CSIRTOnCall,CSIRT - Escalation Policy,Cyber Security Incident Response Team - CSIRT,"[""Email""]",2019-10-22T11:46:28-07:00
CTA Oncall,Core Ticketing Architecture Escalation Policy,Core Ticketing Platform,"[""Email""]",
CTS AAA Oncall,CTS AAA Oncall Escalation Policy,CTS AAA,"[""Email"", ""Events API v2""]",2019-07-04T15:30:32-07:00
